max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p50,latency_p95,latency_p99,tokens_per_second_average,tokens_per_second_p50,tokens_per_second_p95,tokens_per_second_p99,time_to_first_token_average,time_to_first_token_p50,time_to_first_token_p95,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p50,time_per_output_token_p95,time_per_output_token_p99
7275,191,4,32,0.76,0.83,False,False,False,True,2.540009092092514,2.5592647790908813,2.619296741485596,2.638991360664368,19.537041083466235,19.53313802873844,19.07620314416869,18.75462986520372,0.4599578881263733,0.4758534431457519,0.5312034487724304,0.5506490755081176,0.0512517740989822,0.0511950516700744,0.0524213345050811,0.0533508326951193
5895,1194,2,16,1.32,0.81,False,True,True,True,2.3463821387290955,2.3452998399734497,2.595292055606842,2.6254719495773315,21.245502543142536,21.3090320727175,19.21015094051785,19.02629229814354,0.2466624236106872,0.2272295951843261,0.5093687891960144,0.5137821674346924,0.0471822051081902,0.0469284582138061,0.0520558173656463,0.0525588519573211
6579,82,4,32,0.82,0.93,True,True,False,True,2.495714581012726,2.504443049430847,2.524902415275574,2.5282121801376345,20.036730140740392,19.96455772591094,19.80274831693662,19.776830144828818,0.4218044400215149,0.4208332300186157,0.4292440176010131,0.4337736082077026,0.0499142916202545,0.0500888609886169,0.0504980483055114,0.0505642436027526
4914,197,1,8,0.82,0.76,True,False,False,False,4.84643524377904,2.450814008712769,3.09601012468338,58.40431819677353,19.49423585289049,20.390149047852496,16.149818545292888,0.8561010820614027,2.8088256412364068,0.4160972833633423,1.0650304794311525,56.39096134424209,0.0973051440588293,0.0490432906150817,0.0619202024936676,1.1680863639354706
5480,522,2,32,1.0,0.91,True,True,False,False,2.470327877998352,2.4764281511306763,2.5006070375442504,2.5022671747207643,20.24256899831648,20.190432030488328,19.99514560272276,19.981881380378542,0.4230644106864929,0.4229230880737304,0.435490083694458,0.437761583328247,0.049406557559967,0.0495285630226135,0.050012140750885,0.0500453434944152
7152,1019,2,32,0.91,0.92,False,False,True,False,20.843377459118937,2.602020740509033,59.912094712257385,59.92681505680084,12.148507895464965,19.2000925785714,0.8345560317059348,0.834351032971597,15.553008079528809,0.4943842887878418,57.90588390827179,57.93249223232269,0.416947783627215,0.0520830821990966,1.1982418942451476,1.1985363011360168
7975,2000,1,32,0.96,0.99,False,False,True,True,2.535502105951309,2.5480339527130127,2.7290229916572573,2.741537024974823,19.764176887906302,19.622983988716047,18.321575243003124,18.23794446712354,0.4797089970111847,0.4836846590042114,0.6834482789039611,0.6950028324127197,0.0507100421190261,0.0509606790542602,0.0545804598331451,0.0548307404994964
5829,661,6,32,0.03,0.74,True,False,True,False,2.449104689359665,2.4666908979415894,2.5984287738800047,2.6152905654907226,20.387864021337823,20.269883065215403,19.24087913571476,19.09401937304802,0.3776659858226776,0.4187588691711426,0.4924164414405822,0.5229534578323363,0.049106295772835,0.0493342757225036,0.0519726772308349,0.0523724223613739
4317,984,7,32,1.5,0.84,True,False,True,False,2.5161748707294462,2.5313421487808228,2.595129418373108,2.6069162797927854,19.826185902882045,19.74740397725408,19.2647573306084,19.156093892621566,0.4213565373420715,0.4443223476409912,0.5009328484535217,0.515125811100006,0.0504807407659033,0.0506395697593688,0.0519082586765289,0.0522027109622955
4678,1548,5,16,1.31,0.74,False,False,True,True,2.5322056555747987,2.5519604682922363,2.6070183753967284,2.6237053799629213,19.763549475616102,19.592779990994096,19.17899905547001,19.05701809190435,0.4666172254085541,0.4792166948318481,0.5477801203727722,0.5664731621742248,0.0506441131114959,0.0510392093658447,0.0521403675079345,0.0524741075992584
